instance_name, exec_time, random_seed, constraints_type, hot_start, solution_value,size
"2.atsp",50.638967646,"35383","claus","none",6905.0,53
"3.atsp",9.93004551,"35383","claus","none",1286.0,34
"4.atsp",18.16622735,"35383","claus","none",1530.0,39
"5.atsp",127.395478726,"35383","claus","none",1776.0,48
"6.atsp",134.034858271,"35383","claus","none",1608.0,56
"7.atsp",257.776329754,"35383","claus","none",1839.0,65
"1.atsp",7.2688957,"168352","mtz","none",39.0,17
"10.atsp",59.503028309,"168352","mtz","none",14422.0,48
"2.atsp",33.180834946,"168352","mtz","none",6905.0,53
"3.atsp",7.871903948,"168352","mtz","none",1286.0,34
"4.atsp",7.844432757,"168352","mtz","none",1530.0,39
"5.atsp",14.110922301,"168352","mtz","none",1776.0,48
"6.atsp",10.641697905,"168352","mtz","none",1608.0,56
"7.atsp",25.130111233,"168352","mtz","none",1839.0,65
"1.atsp",7.140327032,"116204","claus","none",39.0,17
"10.atsp",134.111539738,"116204","claus","none",14422.0,48
"2.atsp",50.624809282,"116204","claus","none",6905.0,53
"3.atsp",9.804548023,"116204","claus","none",1286.0,34
"4.atsp",18.333072957,"116204","claus","none",1530.0,39
"5.atsp",127.775507601,"116204","claus","none",1776.0,48
"6.atsp",130.025644318,"116204","claus","none",1608.0,56
"7.atsp",24427.639395954,"116204","claus","none",1839.0,65
"1.atsp",9.452729212,"386176","mtz","none",39.0,17
"10.atsp",66.395575136,"386176","mtz","none",14422.0,48
"2.atsp",35.819945362,"386176","mtz","none",6905.0,53
"3.atsp",7.72531599,"386176","mtz","none",1286.0,34
"4.atsp",7.944230952,"386176","mtz","none",1530.0,39
"5.atsp",14.431207151,"386176","mtz","none",1776.0,48
"6.atsp",12.873615948,"386176","mtz","none",1608.0,56
"7.atsp",26.497411076,"386176","mtz","none",1839.0,65





"1.atsp",7.188876386,"622715","mtz","random",39.0,17
"10.atsp",36.397870522,"622715","mtz","random",14422.0,48
"2.atsp",31.883058004,"622715","mtz","random",6905.0,53
"3.atsp",8.59938363,"622715","mtz","random",1286.0,34
"4.atsp",8.064519411,"622715","mtz","random",1530.0,39
"5.atsp",11.052258483,"622715","mtz","random",1776.0,48
"6.atsp",10.96915609,"622715","mtz","random",1608.0,56
"7.atsp",17.739863278,"622715","mtz","random",1839.0,65
"1.atsp",8.373762615,"814455","mtz","annealing",39.0,17
"10.atsp",40.087565575,"814455","mtz","annealing",14422.0,48
"2.atsp",44.516473648,"814455","mtz","annealing",6905.0,53
"3.atsp",12.437205103,"814455","mtz","annealing",1286.0,34
"4.atsp",13.8316467,"814455","mtz","annealing",1530.0,39
"5.atsp",19.481880813,"814455","mtz","annealing",1776.0,48
"6.atsp",25.436069923,"814455","mtz","annealing",1608.0,56
"7.atsp",35.194377105,"814455","mtz","annealing",1839.0,65
"1.atsp",7.503217437,"386798","mtz","random",39.0,17
"10.atsp",33.875432975,"386798","mtz","random",14422.0,48
"2.atsp",29.876060667,"386798","mtz","random",6905.0,53
"3.atsp",7.086170702,"386798","mtz","random",1286.0,34
"4.atsp",8.104750812,"386798","mtz","random",1530.0,39
"5.atsp",13.270594163,"386798","mtz","random",1776.0,48
"6.atsp",13.173652174,"386798","mtz","random",1608.0,56
"7.atsp",17.689282334,"386798","mtz","random",1839.0,65
"1.atsp",8.087496651,"44095","mtz","annealing",39.0,17
"10.atsp",41.82082249,"44095","mtz","annealing",14422.0,48
